# 241007_15:49:30.665383
t	CH1	CH2
0.000000e+00	-9.619944e-03	5.648290e-01
1.000000e-08	-3.641132e-02	5.853615e-01
2.000000e-08	3.788299e-02	6.096813e-01
3.000000e-08	1.269847e-02	6.264816e-01
4.000000e-08	1.004081e-02	6.385685e-01
5.000000e-08	4.136922e-03	6.632088e-01
6.000000e-08	-4.001232e-02	6.749850e-01
7.000000e-08	2.365761e-02	6.940525e-01
8.000000e-08	-3.253257e-02	7.130117e-01
9.000000e-08	-2.200505e-02	7.266896e-01
1.000000e-07	3.565439e-02	7.568971e-01
1.100000e-07	8.788048e-03	7.714814e-01
1.200000e-07	1.725968e-02	7.875240e-01
1.300000e-07	-2.312983e-02	8.043587e-01
1.400000e-07	-1.635170e-02	8.181052e-01
1.500000e-07	-7.531800e-03	8.317374e-01
1.600000e-07	-3.814120e-03	8.447265e-01
1.700000e-07	1.027148e-02	8.613258e-01
1.800000e-07	-1.491151e-02	8.761051e-01
1.900000e-07	2.319595e-02	8.887970e-01
2.000000e-07	3.482334e-03	9.025764e-01
2.100000e-07	-5.547869e-03	9.234755e-01
2.200000e-07	-1.904270e-02	9.370525e-01
2.300000e-07	-1.656957e-02	9.455817e-01
2.400000e-07	1.108229e-02	9.582652e-01
2.500000e-07	3.071476e-03	9.740603e-01
2.600000e-07	6.722195e-04	9.909448e-01
2.700000e-07	-9.174462e-03	1.004429e+00
2.800000e-07	3.770383e-03	1.018952e+00
2.900000e-07	5.988902e-04	1.028534e+00
3.000000e-07	-8.105124e-03	1.042471e+00
3.100000e-07	-9.546379e-03	1.051000e+00
3.200000e-07	-6.966308e-03	1.066832e+00
3.300000e-07	9.732879e-03	1.078360e+00
3.400000e-07	1.649857e-03	1.089790e+00
3.500000e-07	-7.284218e-03	1.102558e+00
3.600000e-07	-9.988424e-03	1.108902e+00
3.700000e-07	4.697633e-04	1.122373e+00
3.800000e-07	2.905584e-03	1.137155e+00
3.900000e-07	-4.201943e-03	1.148637e+00
4.000000e-07	-5.661199e-03	1.157211e+00
4.100000e-07	-3.072655e-03	1.171845e+00
4.200000e-07	4.056768e-03	1.182273e+00
4.300000e-07	-3.253059e-03	1.189779e+00
4.400000e-07	-9.389187e-03	1.198371e+00
4.500000e-07	-6.871680e-03	1.207779e+00
4.600000e-07	6.465506e-04	1.220208e+00
4.700000e-07	3.701109e-03	1.223484e+00
4.800000e-07	-4.048990e-03	1.234910e+00
4.900000e-07	-6.566595e-03	1.239463e+00
5.000000e-07	-2.992438e-03	1.251694e+00
