# Temperatura_=_1.1170588235294117
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_308214.1844598536
# Promedio de 153 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-9.100503e-10	-1.002995e-08	-5.681298e+01	-1.171222e+03
1.000000e-08	-9.096822e-10	-1.003306e-08	-5.679000e+01	-1.171085e+03
2.000000e-08	-9.090009e-10	-1.003502e-08	-5.674746e+01	-1.170844e+03
3.000000e-08	-9.080066e-10	-1.002896e-08	-5.668539e+01	-1.170493e+03
4.000000e-08	-9.066819e-10	-1.002737e-08	-5.660269e+01	-1.170033e+03
5.000000e-08	-9.050313e-10	-1.002556e-08	-5.649964e+01	-1.169468e+03
6.000000e-08	-9.030714e-10	-1.001773e-08	-5.637728e+01	-1.168805e+03
7.000000e-08	-9.008302e-10	-1.000443e-08	-5.623737e+01	-1.168056e+03
8.000000e-08	-8.982919e-10	-9.981119e-09	-5.607891e+01	-1.167235e+03
9.000000e-08	-8.953844e-10	-1.001325e-08	-5.589739e+01	-1.166356e+03
1.000000e-07	-8.920537e-10	-1.009512e-08	-5.568947e+01	-1.165433e+03
1.100000e-07	-8.883596e-10	-1.004398e-08	-5.545884e+01	-1.164475e+03
1.200000e-07	-8.843872e-10	-9.990009e-09	-5.521085e+01	-1.163491e+03
1.300000e-07	-8.801435e-10	-1.001230e-08	-5.494592e+01	-1.162480e+03
1.400000e-07	-8.756128e-10	-9.996036e-09	-5.466308e+01	-1.161439e+03
1.500000e-07	-8.708019e-10	-9.896074e-09	-5.436274e+01	-1.160359e+03
1.600000e-07	-8.656822e-10	-9.820953e-09	-5.404313e+01	-1.159222e+03
1.700000e-07	-8.601706e-10	-9.962228e-09	-5.369905e+01	-1.158013e+03
1.800000e-07	-8.543017e-10	-9.907907e-09	-5.333266e+01	-1.156709e+03
1.900000e-07	-8.481378e-10	-9.855645e-09	-5.294785e+01	-1.155290e+03
2.000000e-07	-8.416679e-10	-9.936148e-09	-5.254395e+01	-1.153736e+03
2.100000e-07	-8.349325e-10	-9.827969e-09	-5.212347e+01	-1.152030e+03
2.200000e-07	-8.278746e-10	-9.838475e-09	-5.168285e+01	-1.150159e+03
2.300000e-07	-8.204520e-10	-9.786155e-09	-5.121948e+01	-1.148115e+03
2.400000e-07	-8.126765e-10	-9.742703e-09	-5.073407e+01	-1.145891e+03
2.500000e-07	-8.045487e-10	-9.752614e-09	-5.022666e+01	-1.143487e+03
2.600000e-07	-7.961296e-10	-9.714767e-09	-4.970106e+01	-1.140903e+03
2.700000e-07	-7.874175e-10	-9.746708e-09	-4.915718e+01	-1.138142e+03
2.800000e-07	-7.784394e-10	-9.694965e-09	-4.859669e+01	-1.135206e+03
2.900000e-07	-7.691928e-10	-9.667983e-09	-4.801944e+01	-1.132097e+03
3.000000e-07	-7.596555e-10	-9.609932e-09	-4.742404e+01	-1.128811e+03
3.100000e-07	-7.498108e-10	-9.579227e-09	-4.680945e+01	-1.125348e+03
3.200000e-07	-7.396544e-10	-9.559104e-09	-4.617540e+01	-1.121698e+03
3.300000e-07	-7.292272e-10	-9.494106e-09	-4.552444e+01	-1.117856e+03
3.400000e-07	-7.185233e-10	-9.518473e-09	-4.485622e+01	-1.113809e+03
3.500000e-07	-7.075588e-10	-9.484273e-09	-4.417172e+01	-1.109549e+03
3.600000e-07	-6.963238e-10	-9.437295e-09	-4.347033e+01	-1.105064e+03
3.700000e-07	-6.848061e-10	-9.376686e-09	-4.275130e+01	-1.100345e+03
3.800000e-07	-6.730133e-10	-9.322510e-09	-4.201510e+01	-1.095386e+03
3.900000e-07	-6.609483e-10	-9.275180e-09	-4.126189e+01	-1.090183e+03
4.000000e-07	-6.486259e-10	-9.227639e-09	-4.049263e+01	-1.084732e+03
4.100000e-07	-6.360614e-10	-9.206779e-09	-3.970825e+01	-1.079033e+03
4.200000e-07	-6.232781e-10	-9.155115e-09	-3.891020e+01	-1.073086e+03
4.300000e-07	-6.102715e-10	-9.119039e-09	-3.809822e+01	-1.066893e+03
4.400000e-07	-5.970326e-10	-9.054893e-09	-3.727174e+01	-1.060451e+03
4.500000e-07	-5.835522e-10	-8.984780e-09	-3.643018e+01	-1.053759e+03
4.600000e-07	-5.698378e-10	-8.909030e-09	-3.557401e+01	-1.046811e+03
4.700000e-07	-5.558929e-10	-8.850336e-09	-3.470345e+01	-1.039597e+03
4.800000e-07	-5.417174e-10	-8.803867e-09	-3.381850e+01	-1.032105e+03
4.900000e-07	-5.273213e-10	-8.747394e-09	-3.291977e+01	-1.024318e+03
5.000000e-07	-5.127217e-10	-8.686236e-09	-3.200834e+01	-1.016217e+03
5.100000e-07	-4.979434e-10	-8.609733e-09	-3.108575e+01	-1.007779e+03
5.200000e-07	-4.829899e-10	-8.533978e-09	-3.015222e+01	-9.989794e+02
5.300000e-07	-4.678520e-10	-8.443118e-09	-2.920719e+01	-9.897924e+02
5.400000e-07	-4.525242e-10	-8.356908e-09	-2.825030e+01	-9.801910e+02
5.500000e-07	-4.370193e-10	-8.272116e-09	-2.728235e+01	-9.701475e+02
5.600000e-07	-4.213490e-10	-8.190260e-09	-2.630408e+01	-9.596339e+02
5.700000e-07	-4.055220e-10	-8.104625e-09	-2.531603e+01	-9.486214e+02
5.800000e-07	-3.895445e-10	-8.007215e-09	-2.431857e+01	-9.370800e+02
5.900000e-07	-3.734240e-10	-7.899320e-09	-2.331220e+01	-9.249786e+02
6.000000e-07	-3.571621e-10	-7.783275e-09	-2.229699e+01	-9.122844e+02
6.100000e-07	-3.407606e-10	-7.671718e-09	-2.127307e+01	-8.989620e+02
6.200000e-07	-3.242235e-10	-7.556618e-09	-2.024068e+01	-8.849735e+02
6.300000e-07	-3.075568e-10	-7.437261e-09	-1.920021e+01	-8.702775e+02
6.400000e-07	-2.907791e-10	-7.308655e-09	-1.815281e+01	-8.548291e+02
6.500000e-07	-2.739012e-10	-7.172380e-09	-1.709914e+01	-8.385785e+02
6.600000e-07	-2.569235e-10	-7.023819e-09	-1.603925e+01	-8.214704e+02
6.700000e-07	-2.398472e-10	-6.861144e-09	-1.497321e+01	-8.034423e+02
6.800000e-07	-2.226836e-10	-6.691759e-09	-1.390171e+01	-7.844227e+02
6.900000e-07	-2.054430e-10	-6.518788e-09	-1.282540e+01	-7.643289e+02
7.000000e-07	-1.881256e-10	-6.345545e-09	-1.174431e+01	-7.430644e+02
7.100000e-07	-1.707312e-10	-6.158421e-09	-1.065840e+01	-7.205164e+02
7.200000e-07	-1.532646e-10	-5.954468e-09	-9.567985e+00	-6.965535e+02
7.300000e-07	-1.357398e-10	-5.731129e-09	-8.473943e+00	-6.710242e+02
7.400000e-07	-1.181694e-10	-5.491914e-09	-7.377047e+00	-6.437568e+02
7.500000e-07	-1.005552e-10	-5.238563e-09	-6.277421e+00	-6.145613e+02
7.600000e-07	-8.289799e-11	-4.969025e-09	-5.175113e+00	-5.832324e+02
7.700000e-07	-6.520603e-11	-4.684461e-09	-4.070634e+00	-5.495565e+02
7.800000e-07	-4.749133e-11	-4.380915e-09	-2.964735e+00	-5.133204e+02
7.900000e-07	-2.976137e-11	-4.056066e-09	-1.857884e+00	-4.743225e+02
8.000000e-07	-1.202153e-11	-3.699724e-09	-7.504155e-01	-4.323863e+02
8.100000e-07	5.725212e-12	-3.312596e-09	3.574837e-01	-3.873756e+02
8.200000e-07	2.347299e-11	-2.895956e-09	1.465448e+00	-3.392094e+02
8.300000e-07	4.121218e-11	-2.453111e-09	2.572875e+00	-2.878769e+02
8.400000e-07	5.893817e-11	-1.985357e-09	3.679479e+00	-2.334501e+02
8.500000e-07	7.664564e-11	-1.491711e-09	4.784926e+00	-1.760942e+02
8.600000e-07	9.432346e-11	-9.755856e-10	5.888523e+00	-1.160722e+02
8.700000e-07	1.119618e-10	-4.412281e-10	6.989655e+00	-5.374653e+01
8.800000e-07	1.295572e-10	1.053307e-10	8.088105e+00	1.042687e+01
8.900000e-07	1.471071e-10	6.637411e-10	9.183718e+00	7.590893e+01
9.000000e-07	1.646059e-10	1.227116e-09	1.027614e+01	1.420939e+02
9.100000e-07	1.820433e-10	1.786683e-09	1.136474e+01	2.083305e+02
9.200000e-07	1.994047e-10	2.337186e-09	1.244858e+01	2.739460e+02
9.300000e-07	2.166833e-10	2.878620e-09	1.352725e+01	3.382736e+02
9.400000e-07	2.338820e-10	3.408808e-09	1.460094e+01	4.006787e+02
9.500000e-07	2.509964e-10	3.923466e-09	1.566937e+01	4.605849e+02
9.600000e-07	2.680163e-10	4.417605e-09	1.673189e+01	5.174963e+02
9.700000e-07	2.849353e-10	4.884143e-09	1.778812e+01	5.710150e+02
9.800000e-07	3.017483e-10	5.318706e-09	1.883773e+01	6.208539e+02
9.900000e-07	3.184494e-10	5.714998e-09	1.988035e+01	6.668415e+02
1.000000e-06	3.350274e-10	6.069560e-09	2.091529e+01	7.089214e+02
1.010000e-06	3.514724e-10	6.385330e-09	2.194192e+01	7.471452e+02
1.020000e-06	3.677820e-10	6.671483e-09	2.296011e+01	7.816591e+02
1.030000e-06	3.839560e-10	6.930781e-09	2.396982e+01	8.126875e+02
1.040000e-06	3.999905e-10	7.165372e-09	2.497083e+01	8.405128e+02
1.050000e-06	4.158779e-10	7.376870e-09	2.596265e+01	8.654543e+02
1.060000e-06	4.316069e-10	7.566501e-09	2.694459e+01	8.878476e+02
1.070000e-06	4.471721e-10	7.738187e-09	2.791630e+01	9.080254e+02
1.080000e-06	4.625691e-10	7.895062e-09	2.887751e+01	9.263022e+02
1.090000e-06	4.777906e-10	8.039837e-09	2.982776e+01	9.429614e+02
1.100000e-06	4.928323e-10	8.172066e-09	3.076679e+01	9.582484e+02
1.110000e-06	5.076884e-10	8.295455e-09	3.169423e+01	9.723664e+02
1.120000e-06	5.223559e-10	8.411635e-09	3.260990e+01	9.854773e+02
1.130000e-06	5.368296e-10	8.517783e-09	3.351347e+01	9.977049e+02
1.140000e-06	5.510972e-10	8.613363e-09	3.440417e+01	1.009141e+03
1.150000e-06	5.651468e-10	8.701125e-09	3.528126e+01	1.019854e+03
1.160000e-06	5.789754e-10	8.785058e-09	3.614456e+01	1.029892e+03
1.170000e-06	5.925829e-10	8.865683e-09	3.699405e+01	1.039298e+03
1.180000e-06	6.059666e-10	8.941142e-09	3.782957e+01	1.048106e+03
1.190000e-06	6.191223e-10	9.010323e-09	3.865086e+01	1.056354e+03
1.200000e-06	6.320475e-10	9.073660e-09	3.945776e+01	1.064081e+03
1.210000e-06	6.447428e-10	9.132551e-09	4.025031e+01	1.071329e+03
1.220000e-06	6.572028e-10	9.188326e-09	4.102816e+01	1.078142e+03
1.230000e-06	6.694173e-10	9.242150e-09	4.179069e+01	1.084566e+03
1.240000e-06	6.813770e-10	9.295041e-09	4.253732e+01	1.090641e+03
1.250000e-06	6.930689e-10	9.347557e-09	4.326722e+01	1.096407e+03
1.260000e-06	7.044800e-10	9.397686e-09	4.397960e+01	1.101894e+03
1.270000e-06	7.156150e-10	9.442303e-09	4.467474e+01	1.107124e+03
1.280000e-06	7.264838e-10	9.480366e-09	4.535326e+01	1.112112e+03
1.290000e-06	7.370809e-10	9.516202e-09	4.601482e+01	1.116865e+03
1.300000e-06	7.474003e-10	9.551597e-09	4.665904e+01	1.121382e+03
1.310000e-06	7.574361e-10	9.586553e-09	4.728556e+01	1.125661e+03
1.320000e-06	7.671795e-10	9.620980e-09	4.789382e+01	1.129696e+03
1.330000e-06	7.766362e-10	9.653722e-09	4.848419e+01	1.133483e+03
1.340000e-06	7.858100e-10	9.685354e-09	4.905689e+01	1.137021e+03
1.350000e-06	7.946947e-10	9.714605e-09	4.961155e+01	1.140315e+03
1.360000e-06	8.032934e-10	9.740420e-09	5.014835e+01	1.143371e+03
1.370000e-06	8.116034e-10	9.762878e-09	5.066713e+01	1.146204e+03
1.380000e-06	8.196092e-10	9.784740e-09	5.116692e+01	1.148830e+03
1.390000e-06	8.272955e-10	9.806791e-09	5.164676e+01	1.151268e+03
1.400000e-06	8.346566e-10	9.828304e-09	5.210630e+01	1.153540e+03
1.410000e-06	8.417065e-10	9.849073e-09	5.254641e+01	1.155663e+03
1.420000e-06	8.484477e-10	9.867411e-09	5.296725e+01	1.157654e+03
1.430000e-06	8.548742e-10	9.883749e-09	5.336845e+01	1.159525e+03
1.440000e-06	8.609919e-10	9.899232e-09	5.375037e+01	1.161284e+03
1.450000e-06	8.667922e-10	9.914653e-09	5.411247e+01	1.162934e+03
1.460000e-06	8.722578e-10	9.929570e-09	5.445367e+01	1.164476e+03
1.470000e-06	8.773656e-10	9.943465e-09	5.477255e+01	1.165907e+03
1.480000e-06	8.821251e-10	9.955714e-09	5.506967e+01	1.167225e+03
1.490000e-06	8.865574e-10	9.965819e-09	5.534637e+01	1.168425e+03
1.500000e-06	8.906544e-10	9.974646e-09	5.560214e+01	1.169508e+03
1.510000e-06	8.944245e-10	9.983229e-09	5.583750e+01	1.170472e+03
1.520000e-06	8.978692e-10	9.991750e-09	5.605255e+01	1.171323e+03
1.530000e-06	9.009868e-10	1.000019e-08	5.624717e+01	1.172065e+03
1.540000e-06	9.037725e-10	1.000892e-08	5.642107e+01	1.172706e+03
1.550000e-06	9.062134e-10	1.001693e-08	5.657346e+01	1.173255e+03
1.560000e-06	9.083246e-10	1.002389e-08	5.670525e+01	1.173719e+03
1.570000e-06	9.101046e-10	1.002895e-08	5.681637e+01	1.174105e+03
1.580000e-06	9.115328e-10	1.003191e-08	5.690553e+01	1.174415e+03
1.590000e-06	9.125931e-10	1.003446e-08	5.697172e+01	1.174651e+03
1.600000e-06	9.132987e-10	1.003687e-08	5.701577e+01	1.174809e+03
1.610000e-06	9.136704e-10	1.003933e-08	5.703897e+01	1.174885e+03
1.620000e-06	9.137101e-10	1.004272e-08	5.704145e+01	1.174871e+03
1.630000e-06	9.134336e-10	1.004473e-08	5.702419e+01	1.174760e+03
1.640000e-06	9.128428e-10	1.003598e-08	5.698731e+01	1.174545e+03
1.650000e-06	9.119345e-10	1.003584e-08	5.693060e+01	1.174221e+03
1.660000e-06	9.106956e-10	1.003357e-08	5.685326e+01	1.173788e+03
1.670000e-06	9.091360e-10	1.002356e-08	5.675589e+01	1.173248e+03
1.680000e-06	9.072834e-10	1.002063e-08	5.664024e+01	1.172609e+03
1.690000e-06	9.051334e-10	1.002978e-08	5.650602e+01	1.171880e+03
1.700000e-06	9.027019e-10	1.004543e-08	5.635422e+01	1.171076e+03
1.710000e-06	8.999573e-10	9.940688e-09	5.618287e+01	1.170210e+03
1.720000e-06	8.967669e-10	9.884582e-09	5.598370e+01	1.169296e+03
1.730000e-06	8.931015e-10	9.948636e-09	5.575488e+01	1.168346e+03
1.740000e-06	8.890836e-10	9.928517e-09	5.550404e+01	1.167368e+03
1.750000e-06	8.847940e-10	9.895176e-09	5.523625e+01	1.166364e+03
1.760000e-06	8.802462e-10	9.972672e-09	5.495233e+01	1.165331e+03
1.770000e-06	8.754967e-10	1.004795e-08	5.465583e+01	1.164261e+03
1.780000e-06	8.705061e-10	9.884914e-09	5.434427e+01	1.163140e+03
1.790000e-06	8.651228e-10	9.944388e-09	5.400821e+01	1.161950e+03
1.800000e-06	8.594337e-10	9.963412e-09	5.365304e+01	1.160672e+03
1.810000e-06	8.534129e-10	9.855960e-09	5.327717e+01	1.159283e+03
